context,response
What do you think of adding him to our team?,"Bob? Ooh, working here with us? Everyday? Yeah, I don't know if he has what it takes."
Can you believe how lame this is?,I don't think the contestants are supposed to speak to each other.
I just got engaged to my soulmate.,"Oh, wonderful! Because nothing says 'soulmate' like someone who's contractually obligated to tolerate you for the rest of your life."
You're driving me crazy with that!,"Okay, I'll stop."
"You're getting married in a little while, what's the next step?","Getting married. Okay. Okay. You can, you can do that too! Just like you've done everything else!"
I'm so excited for my blind date tonight.,"Yeah, because nothing says 'true love' like a stranger who's only seen your filtered selfies."
What's taking you boys so long?,In a minute? What's gonna happen in a minute?!
Do you really want to start your life together by letting her down?,Marriage advice? Really?!
What?,"Nothing, just your overcoat sounds remarkably like Brent Mussberger."
Need a new table.,You think?
"He couldn't even tell me! He said it was just some sort of skin... abnormality. And the worst thing is he-he-he said, he said, without being able to identify it, he was reluctant to remove it.","Y'know what? You should go to my guy, because when I went in there with my third nipple. He just lopped it right off. Y'know? So I guess I'm lucky. I mean not as lucky as people who were born with two nipples."
"Oh, can I borrow this? My milk's gone bad.","Oh, I hate that. I once had a thing of half and half, stole my car."
Maybe we shouldn't pay our cable bill-maybe this is how they punish us.,Maybe we shouldn't pay our phone bill-free phone sex.
You wanna see flirting? I'll show you flirting.,I'm good.
What?! What?! Talking about what?!,You don't know?
"Okay, Lesson One: Chords. Now, I Don'T Know The Actual Names Of The Chords But Umm, I-I-I Made Up Names For The Way My Hand Looks While I'M Doing Them. So then, this is Bear Claw. Okay, umm, Turkey Leg and Old Lady.","What an interesting approach to guitar instruction. Y'know some might find it amusing, I myself find it regular."
"C'mon, you're going out with the guy! There's gotta be something wrong with him!","All right Joey, be nice. So does he have a hump? A hump and a hairpiece?"
"Okay Rach, that muffin and espresso, $4.50. Ross, double latte, $2.75. Chandler, coffee and a scone, $4.25. And Pheebs, herbal tea, $1.25. So, all together that's $12.75.",This coming from the man who couldn't split our 80 dollar phone bill in half.
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings on socks."
Ross didn't scare you?,Scared me out of ever wanting to live with him.
"I don't know, clean places?","Umm, yum!"
I've decided to start writing a novel.,"Oh, fantastic! Because the world was just missing a 500-page memoir about your feelings on socks."
I've decided to start writing a novel.,"Oh, great. Because the world was just missing a 500-page memoir about your feelings on socks."
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings on socks."
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings on socks."
"Oh, um, that was my bathing suit from high school. I was uh, a little bigger then.","Oh, I thought that's what they used to cover Connecticut when it rained."
I can't wait to be with you! I'll sneak over as soon as Ross picks up Ben. I'll just tell Rachel I'm gonna be doing laundry for a couple of hours.,Laundry. Huh. Is that my new nickname?
What would you do next?,No. No-no. No. What would you do next?
"All right, look. Why don't you just return the book, let Joey give her the clock pen, and you give her something worse than that.",Like... a regular pen.
You stayed home all day and played Ms. Pac-Man while I went off to work like some kind of chump?,"Uh-huh, and I got all the top ten scores, I erased Phoebe off the board! High five!"
You need some fresh air?,Oh fresh air!
"All right, check it out. Check this out. It says here that there's a place you can go to rent videos of all the museums! ""It's almost as good as being there.""",It's better! You can't go to a museum in your underwear!
"Joey, seriously, can I get my coffee?","See, now it's weird again."
"Monica, get up. Come on. Let's get some coffee.","Oh, ok, 'cause we never do that."
How many of these things did you have? These are pure vodka.,"Yeah, Jell-o just like Mom used to make."
You've got to be careful. This girl thing is dangerous. It's spreading already.,"Yeah, is this your pretty pink pillow on the couch?"
I just got engaged to my soulmate.,"Wow, congratulations! I'm sure the 37 other girls you've called your soulmate will be thrilled to hear that."
You not gonna believe this: She lied! She tricked me into having sex with her.,What's the matter with me? Why I'm such a girl?
I just got engaged to my soulmate.,"Oh, wonderful! Because nothing says 'soulmate' like someone who's willing to tolerate you for the rest of their life."
"I mean everyone will leave! I mean come on, that is just noise! It's not even a song!","If you listen very carefully, I think its Celebration by Cool and the Gang."
"She doesn't know which one of us she wants, me or this Colin guy.",Does that mean the same thing in England as it does in America?
"Oh Mon-Mon-Mon-Mon-look, this is the honeymoon suite. The room expects sex.",The room would be disappointed if it didn't get sex. All of the other honeymoon suites would think it was a loser.
"Maybe because you used to be aloof, or that you're really sarcastic, or that, y'know, you joke around all the time.",Is this why they don't like me or why you don't like me?
"Yeah, there's this superintendent's dance, the Super Ball. I don't know, and he wants to impress Marge, this lady super that he's a crush on.","That's not, prison lingo, is it?"
"I was just at the bank, and there was this really hot teller, and she didn't ask me to go do it with her in the vault.","Same kind of thing happened to me! Woman pizza delivery guy come over, gives me the pizza, takes the money, and leaves!"
"What the hell was that?! The flirting! Aren't you supposed to be going out with, I don't know hmm, let's say my sister?!",I was not flirting.
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings on socks."
What does Cassie even look like now.,She looks exactly like Aunt Marilyn.
Maybe I should open a divorced men's club.,Dude that is so sad.
Did Ross sit anywhere while he was naked?,No-no-no-no-no-no-no-no!!! You can't come in here! R-r-r-r-Ross is naked.
Joey Tribbiani: Alright alright. You're a monkey. You're loose in the city. Where do you go?,"Okay, it's his first time out, so he's probably gonna wanna do some of the touristy things. I'll go to Cats, you go to the Russian Tea Room."
I've decided to start a food blog.,"Oh, great, because the world was just missing a 400th review of avocado toast."
I just got engaged to my soulmate.,"Wow, a soulmate. How convenient. Now you'll have someone to share your therapy bills with."
I just got engaged to my girlfriend.,"Oh, wow! Could I BE any happier for you?"
Live together? There have been no signs for that.,Me asking is kind of a sign.
Fine. I'll go.,"Oh, good! Good! Do you guys know how to get a chick out of a VCR?!"
You have to go because Chandler still has feelings for you and that's why you can't stay here tonight,"Feelings, such strong feelings"
"What did you mean before when you said you didn't want to talk to anyone, especially me?","What a great apology! And you accept! Okay, bye-bye!"
"You know how people need transportation, but they also need massages to help them relax so I just figured we could combine the two, okay, I give the massages and Frank drives! I can fix up the van, bolt the table in the back, and you know what I've got?",A place where no one will ever get out alive?
What do you think about centerpieces? Roses or Lilies?,"Definitely roses. Well, I just think they're a little more weddingy. But Lilies are the clear choice."
You need to make sure I don't have any horrible scars or tattoos.,"Don't you worry; I have nothing to hide. So there you go, that's me. One hundred percent natural!"
I just got engaged to my girlfriend.,"Oh, great, so now you're officially doomed to listen to her opinions for the rest of your life. Congratulations, you're a glutton for punishment."
"Monica: Ooh, candy bars, crossword puzzles...
Phoebe: Ooh, Madlibs, mine!",Condoms?
What's going on? Is somebody pregnant?,Oh yeah. That's me.
What does yours say Pheebs?,"Umm... Wow, all right. Wow! Yay! Ooh, I'm gonna meet a guy! And really soon! And he's gonna be the man of my dreams. Probably not the guy I had a dream about last night."
"Yeah, I guess, but what's like heads and what's tails?","Well it you don't know that, then I don't want to do this with you."
Just let her serve the beef-custard thing?,"Yeah, it'll be like a funny Thanksgiving story!"
"Honey, you're just in time, I'm about to sing another song!",Really? In front of all this people?
I put my head between her legs.,To see her pants?
Yes indeedy! With a beautiful view of...,Oh look! That guy's peeing!
Should I get her a Tiffany cut or a Princess cut or a-ah-ah!,Paper cut!
I just got engaged to my girlfriend.,"Oh, great, so now you're officially off the market and onto the 'I'm stuck with this person forever' market. Congratulations, I guess."
I've decided to become a professional clown.,"Oh, finally, a career that combines your love of dignity and permanent facial paint."
Ross is stunned.,Is there any chance you didn't see that?
I just got engaged to my soulmate.,"Wow, a soulmate. How convenient. Now you'll never have to use Tinder again."
I just got engaged to my girlfriend.,"Wow, congratulations! Could I BE any more thrilled for you and your impending doom?"
Even with me?,I was dangerously dehydrated during the first six months of our relationship.
The pants are a little tight.,A little tight? I could see double-oh and seven in those pants.
Oh but he did say that they found the grandmother wandering down fifth avenue.,Okay. Well there's one down.
Did you ever have a threesome?,I sorta had one last night.
I don't need any toner because I'm going to kill myself.,"Umm, is-is that because you're out of toner?"
How did it happen? Did your eyes meet across the room? And then the next thing y'know you're in the bathtub together and she's feeding you strawberries?,Isn't that what happened with you and the bride's maid?
I've decided to start a journal to express my feelings.,"Oh, great, because the world was just missing your thoughts on paper, and by 'the world', I mean the therapist you'll need after reading it."
Joey: You don't know how long we're gonna be in here! We may have to repopulate the Earth.,And condoms are the way to do that?
"Boy, that was-that was, umm... terrific.","Really, bitchin'!"
The guys are watching a basketball game and giving themselves facials.,"Yeah, laugh all you want but in ten minutes we're gonna have younger looking skin!"
"The line is pick a bag, so you need to pick up the bag.","Or, I could just point to it!"
Okay. Hey. Umm. Does everybody hate these shoes?,"Oh yeah, but don't worry. I don't think anybody's gonna focus on that as long as your wearing that towel dress."
If he wants a date? He's gonna get a date.,Really?
What's the Sooner State?,"The Sooner State, whatever that is."
Wayne wants to learn how to talk to women,"Yeah, I've been there my friend."
I just got engaged to my soulmate.,"Wow, that's great. I'm sure the 37 other women you've called your soulmate will be thrilled to hear that."
Susan and I live together.,Although I was married to her.
I can make you a legend. I can make you this generation's Milton Berle.,And Milton Berle has a...
What is it?,"It's yelling...bleeding...dilating. Oh, the dilating..."
"I'm afraid that does not exist, a good picture of us.","No, there are great pictures of you standing next to a guy who's going like this..."
"You and Monica, friends for a long time, and sure there are rules, but then you went to London.","Oh, no, but that's different. I mean, there are rules there, too! You know what I mean?"
Did they at least offer you a huge raise?,"No, no, but they are going to lease us a Ford Focus."
"Rachel Green: You would be too if you found John and David boots on sale, fifty percent off!","Oh, how well you know me..."
"So maybe they could umm, call the award the Monica?",Absolutely!
What did it do?,"Well, you just-you put a quarter in and y'know pull-pull some handles and win like a candy bar or something."
I got something for her. It's a book!,A book? Is it like a book that's also a safe?
And the fact that you were jeopardising my career never entered your mind?!,"It did enter my mind! But then something happened that made it, shoot right out."
They gave us a fake number? Why? Why would they do that?,"I don't know! You were a delight to talk to. You asked all those insightful, great questions."
"Y'know, birds have a very good sense of direction, and I thought maybe they could help us find where the presents are hidden.","Yes, if the presents are hidden south for the winter."
"Knowing you're here, waiting for me I think it's kinda exciting.","Okay. But if you don't come back soon, there's pretty much nothing I can do about it!"
"Janice! There you are! There you are! I had to have one last kiss, and also-also you said that you were going to leave right after I got on the plane!","Well, I then guess I'm going to Yemen! I'm going to Yemen! When we get to Yemen, can I stay with you?"
I just got engaged to my soulmate.,"Wow, congratulations! Could I BE any happier for you and your impending doom of eternal compromise?"
"I'm gonna miss this hand! Okay I know it's a lot to ask, but oh my God Chandler, this is a once in a lifetime opportunity.",What happened to 'you can't live without me four days a week'?
I just got engaged to my girlfriend.,"Oh, wow! Could I BE any happier for you? Said no one, ever."
"Oh Mon-Mon-Mon-Mon-look, this is the honeymoon suite. The room expects sex. The room would be disappointed if it didn't get sex.",All of the other honeymoon suites would think it was a loser.
I hit her in the eye! I hit her in the eye! This is the worst break-up in the history of the world.,"Oh, I don't know, a million?"
You certainly think a lot of yourself.,"Oh, I see. I thought you just really, really liked your new couch."
What does it look like I'm doing? I am cleaning!,Did you get Monica's authorization to move all of her stuff?
I just got engaged to my girlfriend.,"Wow, congratulations! Could I BE any more thrilled for you and your impending doom?"
"Ohhh, here it comes.","Yes, here it comes! I'm stuck here all day, and then you come in and spend two seconds with us and then expect to go off gallivanting with your friends? Well I don't think so mister!"
They say he's only got half a tank left.,Half a tank? We still got a lot of high-speed chasing to do!
Hey guys! Are you guys going to Chandler's for Thanksgiving?,"This is great, another Thanksgiving with nothing to give thanks for."
"Whoa-ho, back off, Missy!",I don't know; I'm not used to girls making passes at me!
I just got engaged to my girlfriend.,"Oh, great. Because what you really needed was someone to judge you for playing video games at 3 AM."
You're not actually supposed to stop on the bridge.,"Yeah, I'm gonna die here."
You liked it? You really liked it?,"Oh-ho-ho, yeah!"
I just got engaged to my soulmate.,"Wow, congratulations! Could I BE any happier for you?"
I'll talk to her.,Yes talk to her. Be a man.
I just got engaged to my girlfriend.,"Oh, congratulations! Could I BE any more thrilled for you?"
I'm so excited for my first day of therapy.,"Yeah, because nothing fixes emotional trauma like a stranger judging you for $200 an hour."
And I'm sure we're all very excited that Ross and Emily are getting married at Montgomery Hall.,"I mean to think, my friend getting married in Monty Hall. Ohh, come on!! Monty Hall!! Lets make a Deal!! Come on, you people!! All right, forget it!! Congratulations, Ross and Emily."
"Ross, you can't tell her not to go. You just started dating.","Well, maybe you don't marry this one."
Unagi. I'm always aware.,"Okay, are you aware unagi is an eel?"
"Oh wow, eight hours? So you could probably really use one of those plug-in telephone headsets huh?",Should we all expect Christmas gifts that can be stolen from your office?
I just thought that if I could follow the wire I could find out what it did.,And did you?!
I just got engaged to my girlfriend.,"Wow, congratulations! Could I BE any more thrilled for you?"
How do I look?,A little tall.
That can't be your father.,"Believe me, I've been saying that for years. Oh my God!"
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings on socks."
I've decided to become a professional clown.,"Yeah, because the world really needs another adult in oversized pants making poor life choices."
You don't get paid unless the movie makes money?,Did you not hear the plot of the movie? 'She's been dead for ten years.' I'm gonna be a millionaire!
Apparently he was this Russian dictator who slaughtered all these people. You'd think you would've known that!,"Y'know, you'd think I would've."
"The Stripper: Okay, who are you? The Hardy boys? Look, I don't need to steal some stupid ring, all right? I make $1,600 a week doing what I do; any of you guys make that?",Marry me.
What is it?,It's a video of my friend giving birth. Could you just bring it back to your apartment?
"I'm a seven! All right, I have surprisingly small feet. But the rest of me is good, I'll show ya!","Great, because my shoes are giving me a little problem on the dance floor, can I borrow the boots from your costume?"
You're not good enough to raise Emma on your own?,What is wrong with me? Am I .. am I incompetent? Because I managed to survive whatever it is that killed the three of you!
Why? Because she can sing and play guitar and do both at the same time?,"Well, that's pretty much all I'm looking for from these people."
You think she's hot?,Are you kidding? If I wasn't married she'd be rejecting me right now.
I'm so excited for my blind date tonight.,"Oh, great, because nothing says 'true love' like a stranger who's only talking to you because they lost a bet."
That was in the fourth grade. How could you still be upset about that?,"Well um, why don't you call me in 20 years and tell me if you're still upset about this."
I know your seeing that guy I was thinking maybe you could bring him.....Hello? Hello?,What's wrong? What's wrong? You're married that's what's wrong.
Monica and Rachel made out.,Are you kidding me?!
I just got engaged to my girlfriend.,"Wow, a whole lifetime of love and happiness... said no one in a divorce court ever."
Do you wanna do it at the same time?,Count of three?
I'm going to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings."
"So, is that better?","Not really. You...you're blurry, but you still look like Ursula. You're Blursula."
"Who, would've thought that someday, Chandler Bing would buy me a drawer.","Well, not me. But that's what's happened, and, ah, and, and there's more. We should take a trip."
How do you figure you should get the chair?,"Because you broke a chair and you broke a chair! The only one around here that hasn't broke a chair, is me!"
Director's Assistant: I hate actors.,"Nice camoflauge man, for a minute there I almost didn't see ya."
I don't need luck. I have thought this through!,I see.
You kissed her.,Oh we kissed it up real nice.
What... did you get me there?,I got you...these. Bullwinkle socks. That's so sweet.
"You're gonna have to figure this one for yourself. All right? Y'know what? If you're too afraid to be in a real relationship, then don't be in one.","Well, that's what we do. Y'know, I-I mess up and then you tell me how to fix it and then I do and then y'know you think I'm all cute again."
I feel like we're the only two people in the world. Oops. Sorry.,What's the matter honey? Did you see a little mouse?
Mom already called this morning to remind me not to wear my hair up. Did you know my ears are not my best feature?,Some days it's all I can think about.
I'm funny like that.,Ohh! A man with a plan!
Hey guys! What's...,"Okay, well, it's definite, two more weeks of winter."
You're not funny or sexy.,That's right!
I just got engaged to my soulmate.,"Oh, wow, that's great. Could I BE any more thrilled for you?"
I've decided to start writing a novel.,"Oh, great, because the world is just missing a 500-page manuscript about your feelings."
Wasn't she uh...,"No, that was Dana Caplin."
There's such a thing as too many women.,Really?
Monica had lunch with Richard.,When you go lunching with hunky moustache men and don't tell me about it!
I'm making money now; it's about time I give something back.,"Well, you could also give back the money you owe me."
Yeah? You don't think it's just pathetic?,Oh! Pathetic!
When you get in there...,Yeah? Really? No one's home?
"Does a good teacher say, 'Put down the beer pinhead!?'","Well, does a good student drink seven beers during his first lesson?"
"So I'm a pimp huh? It's okay! Look, I know that sometimes I can be a pain in the ass, but you just have to talk to me. Tell me if something is bothering you. Okay? And for my part I will do everything I can to keep my annoying habits just .",To a dull roar?
Why would you take this tape and watch it?,"Because that's who I am, okay? I'm sure a mature man like Richard could see a tape like that and it wouldn't bother him."
What's the matter?,"Oh, just this! Y'know what it's my fault really, because the couch is usually where we keep the varnish."
"Monica: I can't believe Joey's having lunch with his stalker. What i-, what is she like.","Well, you remember Cathy Bates in Misery?"
All I had to do was pay $25 and wait in line for three hours.,Wow! If only more people knew.
You're going out to dinner and celebrating Rachel's move and Phoebe's birthday?,"Well, instead of just hanging out, we figure we'd do nothing."
You're his bitch.,But the Kit-Kats are all right?!
Guess what I got for your wedding!,A freakish thin date with a hanger for her head?
What if I had had the guts to quit my job?,"I'd probably be writing for the New Yorker, getting paid to be funny. But my job's fun too! I mean tomorrow, I-I don't have to wear a tie."
"We're trying to get pregnant. Y'know I'm not really comfortable doing this in front of the babies. So, when do you want to start trying?",Right here?
I just got engaged to my girlfriend.,"Wow, a whole lifetime of love and happiness... said no one in a divorce court ever."
I'm gonna go shave.,"Yeah well, I'm gonna go spit."
I'm getting dressed.,When I walk outside naked people throw garbage at me.
I just got engaged to my girlfriend.,"Oh, wow! Could I BE any more thrilled for you?"
"We can't tell him, you can't go up to a guy you barely know and talk about his.... stuff.","He's right, even if it's to say something complementary."
I just got engaged to the love of my life.,"Wow, that's great. Because nothing says 'true love' like a lifelong commitment to someone who still thinks you're cool."
You ate my sandwich?,Oh-oh really? Did you confuse it with your own turkey sandwich with a Moist Maker?
I just got engaged to my soulmate.,"Oh, wow. Because nothing says 'soulmate' like someone who's willing to tolerate you for the rest of their life."
I'm never gonna get to sleep with anyone else! I've been so busy planning the wedding that I forgot about all the things that I'd be giving up!,Oh totally! Pull my finger.
What about someone who looks like Rachel?,I will think about the therapy.
"Oh, have either one of you guys ever been to the Rainbow Room? Is it real expensive?","Well, only if you order stuff."
I just got engaged to my girlfriend.,"Oh, wonderful! Now you can spend the rest of your life wondering where the remote control is."
The waiter seems confused,"Yeah, I just ordered a beer! "
She's mad because I know today's her laundry day and that means she's wearing her old lady underpants.,I can check that for ya.
What's the name the girl you're dating?,Bye!
It's not like we don't know how to party!!,And may-maybe we could end up on a boat again?
You're-you're what?,"Love her! That's right, I...LOVE...HER!!! I love her!! I love you, Monica."
"Okay, here's the thing. We're gonna get you some coffee and they will never know that you're drunk.",Really?! You promise?
"Oh my God, the air purifier! Ross's air purifier! All I heard through 4 years of college was","Dude, you should've gone out once and a while."
You can relax; you did great.,"Yeah I gotta say thank you, I was really nervous. Y'know I've been told I come on to strong, make to many jokes, and then it was really hard to sidestep that duty thing. Duties. Duties! Poo."
I just got engaged to my soulmate.,"Wow, a soulmate. How convenient. Now you'll have someone to share your therapy bills with."
You forbid me?,"You know, I flew a long way to see my loving wife? Is she here by the way?"
"Y'know, I forgot the combination to this about a year ago?",I just carry it around. Do you have any Chap Stick?
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page manuscript about your feelings."
Richard told Monica he wants to marry her,"He's not supposed to ask my girlfriend to marry him, I'm supposed to do that!"
What happened to your rule about never sleeping with sick people?,Well that was before all the vaporizing action.
I cant believe you. You still havent told that girl she doesnt have a job yet?,"Well, you still havent taken down the Christmas lights."
"Hey Chandler look, I know you're mad, but I just want to say I'm sorry. I-I was a total jerk. Completely o-over the line.","Aww, thanks man."
"Well, right after I did that sex study down at NYU. Hey, Remember that sweater I gave you for your birthday?",And that's how you bought it?
"Jeannie: Oh, that sounds lovely. We're gonna have to set that up. Oh, I better get back. Hope the baby feels better.",What a phony.
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings on socks."
I don't need any toner.,"I'm hearing what you're saying, but at our prices everyone needs toner."
All right! Here we go! 1999! The year of Joey!,We're very happy for you.
I just got engaged to my girlfriend.,"Oh, wow, that's great. Because what you really needed was someone to judge you for playing video games at 3 AM."
"All right, it hurts so bad, I could only let her do one eyebrow and now... they don't match!",It's like a baby caterpillar chasing its mama!
So-You got in voluntarily?!,"I was tryin' to make a sale!! Oh, man, if I ever run into that guy again, do you know what I'm gonna do?"
"Okay, now that everything's wrapped up here, I think I'm, I'm gonna go do my laundry.","Oh yeah, me too. Y'know if this shirt is dirty. Yep."
"Ross: Well, there's this, uh, paleontology conference in L.A. so I figured I'd go and then drive down to the zoo and surprise Marcel.","You know I think he will be surprised, 'till he realizes he's a monkey, and uh, you know, isn't capable of that emotion."
"Well, I guess he says that because they were on a break when it happened, that she should of forgiven him by now.","Y'know what this is like? This is like when my parents got divorced. Man, I hope Ross doesn't try to kidnap me after Cub Scouts."
It's 6 o'clock in the morning! Why aren't you at Gary's?,"Oh yeah, that's over."
"If you thought that you were going to be cold, you should've brought your own jacket.",Because then I would be cold!
"You're going out with the guy, there's gotta be something wrong with him!","All right, so does he have a hump? A hump and a hairpiece?"
What'd you get?,"Oh well, all right, I got thank you, I got uh, this y'know 'I want a job sweater.'"
"Okay, there are no famous Joey's. Except for, huh, Joey Buttafucco.","Yeah, that guy really hurt us."
"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",Cookie?
Oh my God! What happened?,"Oh, umm, Joey was born, and then 28 years later, I was robbed!!"
"Yes, I...I am with child. And I didn't want to say anything because it's your day; I didn't want to steal your thunder.",Who's the father?
I'll just tell Rachel I'm gonna be doing laundry for a couple of hours.,Laundry. Huh. Is that my new nickname?
"So ah, did your boss try to slap you again today?","Nine times! Okay, I had to put on lotion! But, it's gonna be okay, because as of tomorrow I'm conducting an experiment, and if all goes as planned, my butt will be smack free."
"Rachel, what are you doing? There is a trash can right there.","Well, I thought if I littered, that crying Indian might come by and save us."
"All right, buddy!",So I'm a pimp huh?
"Hey, are you unsupporting me again?","No! No! I support you 100%! I just didn't, I didn't get it right away."
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings on socks."
Thirty seconds left on the timer!,"Okay, okay, so we get to take that stupid troll thing home!"
I just got engaged to the love of my life.,"Wow, congratulations! I'm sure the 37 times you've been in love before this were just, uh, practice."
"Do you wanna, do you wanna send this one out together?",Together? Like-like to people?
I just got engaged to the love of my life.,"Wow, congratulations! Could I BE any happier for you?"
Ben is coming over tonight and he can't see this.,"Oh come on, by age seven kids have already seen orgies. Was it just me?!"
"Joey's gonna be thrilled, he was hoping you'd come by as a slutty nurse.","You'd think that would embarrass me, but you see I'm maxed out."
"Hey, I thought you already had one.","Oh I used too, but then Joey thought it would be fun to go to Central Park and hit rocks at...bigger rocks."
"Phoebe Buffay: Oh, I believe it. I think the baby can totally hear everything. I can show you. Look, this will seem a little weird, but you put your head inside this turkey, and then we'll all talk, and you'll hear everything we say.","I'd just like to say that I'm totally behind this experiment. In fact, I'd very much like to butter your head."
I just got engaged to my soulmate.,"Wow, that's great. I'm sure the 37 other girls you've called your soulmate will be thrilled to hear that."
"I need something old, something new, something borrowed, and something blue","Okay, all right, all right, all right! Okay! Okay, here's something, here's something blue and new"
"Yes. Yes, there is, they play on Sundays and Monday nights.",Oh shoot! I work Monday nights.
What's going on?,"Oh, y'know what? Maybe uh, you...you should come to me. I'm a not, I'm not wearing any bottoms."
You gotta talk to her.,"I don't know what that's like?! Up until I was 25 I thought the only response to, 'I love you,' was, 'Oh crap!'"
I've decided to become a professional snail trainer.,"Oh, finally, a career that utilizes your extensive experience in moving slowly and leaving a trail of disappointment."
You're turning into a woman. Why would you say that? That's just mean.,Now I've upset you? What did I say?
Guess who's back in show business.,"No, no, Phoebs. You know why? Cause he's dead."
You should phase out the accent and people will think you're adjusting to life in America.,They're not listening to me?
The key's stuck in the lock.,Nice job Joe! You're quite the craftsmen.
I can't believe two cows made the ultimate sacrifice so you guys could watch TV with your feet up.,Well they were chair-shaped cows. They never would have survived in the wild.
You're a weird lady.,Fine. Oh no!
"They had to reduce it because of, of my deviated septum.","OK, I was wrong, that's what they used to cover Connecticut."
We-we-we-I remember being in a chapel. I-They would not let us get married when we were that drunk!,"Well, I think, I think, Ross already has one. Now, this one's free, right? Because you paid for the first two, so the third one's free."
He's miserable! What happened to him?,Nothing. We just talked about stuff.
I'm considering a career change to professional snail trainer.,"Oh, right, because the world is just missing that. Could I BE any more thrilled for the sport?"
"How could you pick up a hitchhiker?! He could be a rape-, a rapist or a killer or something!",Don't you think I asked him that before he got in?!
I've decided to start a garden in my backyard.,"Oh, wonderful. Because what every relationship needs is a therapist and a fertilizer budget."
He's a brilliant diagnostician!,Does he say that before he sticks his thermometer in your touchy?
"Hey, guys, what-what should I wear to a Knicks game?","Uhh, a T-shirt that says, ""I don't belong here."""
You don't believe in soul mates?,No. But I'm sure 'tomatoes' does.
"Noo!! I don't care! I'm not, I'm not gonna playing one-on-one strip poker with you for practice!",But I made cards!!
"Okay, you're in bed. She's over on your side, cuddling. Now you wait for her to drift off, and then you hug her and roll her back over to her side of the bed. And then you rollll a-way. Hug for her! Roll for you.","Okay, one question. You're pretending the pillow's a girl right?"
Joey's gonna be thrilled! He was hoping you'd come by as a slutty nurse.,"You'd think that would embarrass me, but you see I'm maxed out."
I've decided to start writing a novel.,"Oh, great. Because the world was just missing a 500-page memoir about your feelings on socks."
Who is that?,"Don't worry, I'm brave! I am brave! I...I am brave! No-no-no-no!! Can you tell me who is there please?"
The work is starting to pile up. I've got a stack of documents on my desk this high.,"Y'know what you should do, just toss 'em in the shedder and claim you never got 'em."
Joey said he didn't want any of us out there.,He just doesn't want us to go through any trouble. Think of how excited he'll be when we go out and surprise him!
I just got engaged to the love of my life.,"Wow, congratulations! Could I BE any more thrilled for you... said no one ever."
Phoebe knows about us!,Okay but what about y'know my pinchable butt and my bulging biceps-She knows!
I've decided to start writing a novel.,"Oh, great, because the world is just missing a 500-page manuscript about your feelings."
You dated her!,Not once!
"Let me get this straight man, you attacked your ex-wife?","Oh, no! No-no! No, I tired! But I couldn't."
How could you not tell Mona that Rachel is living with you?,"I don't know, she seemed to think it was such a crazy idea! Um, plus, she, uh, she got me taffy!"
What the hell is that dog doing here?,No problem roomie.
"Did you have a crush on me, when you first met me?",Can you people not see me?!
I'm so excited for my first date tonight.,"Yeah, because nothing says 'romance' like a stranger judging you over $15 appetizers."
I've decided to start writing a novel.,"Oh, fantastic! Because the world was just missing a 500-page manuscript about your feelings."
"Yeah, come on, we can be guys!",No you can't.
"Monica: I need two. I'm bringing Pete. My boyfriend. I have a boyfriend now!
Joey Tribbiani: Two it is. Ross, how about you?
Ross Geller: Uh, yeah, I ah, I also need two.
Monica Geller: Really? Who's number two?",Who's number two? One of the more difficult games sewer workers play.
You're gonna go try to talk to her?,Sure! That's one of the great things about being engaged. I'm not nervous talking to pretty girls anymore.
"Yeah, I know, I-I wish I had too, but y'know I-I think this is a good thing. Y'know? 'Cause we've had our first fight, and now we can move on. Y'know, I know for me- Nick's pants?","Yeah. Well, I think our second fight is going to be a big one!"
Would you like me to write her a little poem as well?,Or... just get a card that has a poem already in it.
You mean the spitter?,Easy for you to say; you'll be wearing a veil.
"Here, I brought you some flowers.",Pulling flowers out it makes the bag look a lot more masculine.
"Because weddings are a great place to meet women, and when I dance, I look like this...","Yeah, well, I don't dance at weddings."
Why is your family Scottish?,Why is your family Ross?
"Just go up to her and ask her out. Oh, what's the worst thing that could happen?",I could die.
You're not perfect! You've made some errors in judgment too!,Name one!
Have you talked to him lately?,Have you talked to him lately? He's seven; he's not stupid.
I'm considering a career change to professional snail trainer.,"Oh, great, because the world is just missing that. Could I BE any more thrilled for you?"
I want you to say that you like her!,"I can't. It's like this chemical thing, you know. Every time she starts laughing, I just wanna pull my arm off just so that I can have something to throw at her."
"Joey Tribbiani: Yeah, turns out our kids go to the same school. Small world huh?",Weird world. Your kids?
